part_name,display_name,group,parent_part,blender_bone,body_type,detail_level,collision_layer,shape_type,shape_radius_frac,shape_height_frac,mass,grab_stiffness,is_grabbable,is_targetable,is_internal,joint_type,joint_limit_x_min,joint_limit_x_max,joint_limit_y_min,joint_limit_y_max,joint_limit_z_min,joint_limit_z_max,soft_spring_stiffness,soft_spring_damping,linear_damp,angular_damp,nerve_sensitivity,nerve_zone,comfort_weight,discomfort_weight,stimulation_decay,lod_awake,passive_core,ground_contact
anal_passage_0_bot,Anal Passage 0 Bot,anal_passage,pelvis,anal_passage_0_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.85,EROGENOUS,0.6,0.35,0.3,False,False,False
anal_passage_0_left,Anal Passage 0 Left,anal_passage,pelvis,anal_passage_0_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.85,EROGENOUS,0.6,0.35,0.3,False,False,False
anal_passage_0_right,Anal Passage 0 Right,anal_passage,pelvis,anal_passage_0_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.85,EROGENOUS,0.6,0.35,0.3,False,False,False
anal_passage_0_top,Anal Passage 0 Top,anal_passage,pelvis,anal_passage_0_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.85,EROGENOUS,0.6,0.35,0.3,False,False,False
anal_passage_1_bot,Anal Passage 1 Bot,anal_passage,anal_passage_0_bot,anal_passage_1_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.8,EROGENOUS,0.55,0.3,0.3,False,False,False
anal_passage_1_left,Anal Passage 1 Left,anal_passage,anal_passage_0_left,anal_passage_1_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.8,EROGENOUS,0.55,0.3,0.3,False,False,False
anal_passage_1_right,Anal Passage 1 Right,anal_passage,anal_passage_0_right,anal_passage_1_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.8,EROGENOUS,0.55,0.3,0.3,False,False,False
anal_passage_1_top,Anal Passage 1 Top,anal_passage,anal_passage_0_top,anal_passage_1_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.8,EROGENOUS,0.55,0.3,0.3,False,False,False
anal_passage_2_bot,Anal Passage 2 Bot,anal_passage,anal_passage_1_bot,anal_passage_2_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.75,EROGENOUS,0.5,0.28,0.3,False,False,False
anal_passage_2_left,Anal Passage 2 Left,anal_passage,anal_passage_1_left,anal_passage_2_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.75,EROGENOUS,0.5,0.28,0.3,False,False,False
anal_passage_2_right,Anal Passage 2 Right,anal_passage,anal_passage_1_right,anal_passage_2_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.75,EROGENOUS,0.5,0.28,0.3,False,False,False
anal_passage_2_top,Anal Passage 2 Top,anal_passage,anal_passage_1_top,anal_passage_2_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.75,EROGENOUS,0.5,0.28,0.3,False,False,False
anal_passage_3_bot,Anal Passage 3 Bot,anal_passage,anal_passage_2_bot,anal_passage_3_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.7,EROGENOUS,0.45,0.25,0.3,False,False,False
anal_passage_3_left,Anal Passage 3 Left,anal_passage,anal_passage_2_left,anal_passage_3_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.7,EROGENOUS,0.45,0.25,0.3,False,False,False
anal_passage_3_right,Anal Passage 3 Right,anal_passage,anal_passage_2_right,anal_passage_3_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.7,EROGENOUS,0.45,0.25,0.3,False,False,False
anal_passage_3_top,Anal Passage 3 Top,anal_passage,anal_passage_2_top,anal_passage_3_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.7,EROGENOUS,0.45,0.25,0.3,False,False,False
anal_passage_4_bot,Anal Passage 4 Bot,anal_passage,anal_passage_3_bot,anal_passage_4_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.65,EROGENOUS,0.4,0.22,0.3,False,False,False
anal_passage_4_left,Anal Passage 4 Left,anal_passage,anal_passage_3_left,anal_passage_4_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.65,EROGENOUS,0.4,0.22,0.3,False,False,False
anal_passage_4_right,Anal Passage 4 Right,anal_passage,anal_passage_3_right,anal_passage_4_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.65,EROGENOUS,0.4,0.22,0.3,False,False,False
anal_passage_4_top,Anal Passage 4 Top,anal_passage,anal_passage_3_top,anal_passage_4_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.65,EROGENOUS,0.4,0.22,0.3,False,False,False
anal_passage_5_bot,Anal Passage 5 Bot,anal_passage,anal_passage_4_bot,anal_passage_5_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.6,EROGENOUS,0.35,0.2,0.3,False,False,False
anal_passage_5_left,Anal Passage 5 Left,anal_passage,anal_passage_4_left,anal_passage_5_left,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.6,EROGENOUS,0.35,0.2,0.3,False,False,False
anal_passage_5_right,Anal Passage 5 Right,anal_passage,anal_passage_4_right,anal_passage_5_right,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.6,EROGENOUS,0.35,0.2,0.3,False,False,False
anal_passage_5_top,Anal Passage 5 Top,anal_passage,anal_passage_4_top,anal_passage_5_top,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.6,EROGENOUS,0.35,0.2,0.3,False,False,False
anal_passage_6_bot,Anal Passage 6 Bot,anal_passage,anal_passage_5_bot,anal_passage_6_bot,all,FULL,internal,capsule,0.005,0.022,0.3,0.1,False,False,True,soft,-15,15,-15,15,-15,15,12.0,4.0,8.0,10.0,0.5,EROGENOUS,0.3,0.18,0.3,False,False,False
